country,female,male
Belgium,8.3,4.9
Bulgaria,4.2,2.1
Denmark,9.4,6.6
Germany,12.1,9
Estonia,5.4,4
Ireland,13.4,10.8
Greece,6,3.2
Spain,10.7,4.8
France,7.7,3.9
Croatia,6.2,5.1
Czech Republic,4.6,3.1
Italy,7.1,3.8
Cyprus,4.7,2.5
Latvia,11.5,6
Lithuania,6.1,2.9
Luxembourg,10.7,8.2
Hungary,6.5,3.1
Malta,6.5,4.2
Netherlands,9.1,6.6
Austria,9.5,5.7
Poland,9.5,2.7
Portugal,17.2,5.9
Romania,2,1
Slovenia,10.7,6.9
Slovakia,5.3,3
Finland,11.9,9
Sweden,12.1,7.1
United Kingdom,10.4,7.3
Iceland,17.2,12.3
Norway,9,4.9
Turkey,14.5,7.4
